"Date/Time","Date/Time","No.1","No.2"
"Date/Time","Date/Time","TR-72wf Ch.1","TR-72wf Ch.2"
"","","ÅãC","%"
"2019-11-06 19:29:38","43775.8122453704","22.3","54"
"2019-11-06 19:34:38","43775.8157175926","19.3","44"
"2019-11-06 19:39:38","43775.8191898148","17.5","41"
"2019-11-06 19:44:38","43775.8226620370","16.1","40"
"2019-11-06 19:49:38","43775.8261342593","14.9","40"
"2019-11-06 19:54:38","43775.8296064815","14.1","42"
"2019-11-06 19:59:38","43775.8330787037","15.3","47"
"2019-11-06 20:04:38","43775.8365509259","16.2","50"
"2019-11-06 20:09:38","43775.8400231482","16.7","51"
"2019-11-06 20:14:38","43775.8434953704","17.0","53"
"2019-11-06 20:19:38","43775.8469675926","17.2","55"
"2019-11-06 20:24:38","43775.8504398148","17.4","56"
"2019-11-06 20:29:38","43775.8539120370","17.6","57"
"2019-11-06 20:34:38","43775.8573842593","15.7","50"
"2019-11-06 20:39:38","43775.8608564815","13.9","44"
"2019-11-06 20:44:38","43775.8643287037","14.8","50"
"2019-11-06 20:49:38","43775.8678009259","15.5","54"
"2019-11-06 20:54:38","43775.8712731482","16.0","57"
"2019-11-06 20:59:38","43775.8747453704","16.3","58"
"2019-11-06 21:04:38","43775.8782175926","16.6","59"
"2019-11-06 21:09:38","43775.8816898148","16.8","60"
"2019-11-06 21:14:38","43775.8851620370","16.9","61"
"2019-11-06 21:19:38","43775.8886342593","17.1","62"
"2019-11-06 21:24:38","43775.8921064815","17.2","62"
"2019-11-06 21:29:38","43775.8955787037","16.2","57"
"2019-11-06 21:34:38","43775.8990509259","14.2","48"
"2019-11-06 21:39:38","43775.9025231482","14.1","50"
"2019-11-06 21:44:38","43775.9059953704","14.9","55"
"2019-11-06 21:49:38","43775.9094675926","15.5","57"
"2019-11-06 21:54:38","43775.9129398148","15.8","60"
"2019-11-06 21:59:38","43775.9164120370","16.1","61"
"2019-11-06 22:04:38","43775.9198842593","16.3","62"
"2019-11-06 22:09:38","43775.9233564815","16.5","63"
"2019-11-06 22:14:38","43775.9268287037","16.7","63"
"2019-11-06 22:19:38","43775.9303009259","16.8","64"
"2019-11-06 22:24:38","43775.9337731482","16.9","64"
"2019-11-06 22:29:38","43775.9372453704","17.0","65"
"2019-11-06 22:34:38","43775.9407175926","15.6","56"
"2019-11-06 22:39:38","43775.9441898148","13.8","48"
"2019-11-06 22:44:38","43775.9476620370","14.2","53"
"2019-11-06 22:49:38","43775.9511342593","14.9","57"
"2019-11-06 22:54:38","43775.9546064815","15.4","60"
"2019-11-06 22:59:38","43775.9580787037","15.8","61"
"2019-11-06 23:04:38","43775.9615509259","16.0","62"
"2019-11-06 23:09:38","43775.9650231482","16.2","63"
"2019-11-06 23:14:38","43775.9684953704","16.3","64"
"2019-11-06 23:19:38","43775.9719675926","16.5","65"
"2019-11-06 23:24:38","43775.9754398148","16.6","66"
"2019-11-06 23:29:38","43775.9789120370","16.8","66"
"2019-11-06 23:34:38","43775.9823842593","16.9","66"
"2019-11-06 23:39:38","43775.9858564815","16.8","66"
"2019-11-06 23:44:38","43775.9893287037","14.8","52"
"2019-11-06 23:49:38","43775.9928009259","13.4","49"
"2019-11-06 23:54:38","43775.9962731482","14.3","55"
"2019-11-06 23:59:38","43775.9997453704","14.9","59"
"2019-11-07 00:04:38","43776.0032175926","15.4","60"
"2019-11-07 00:09:38","43776.0066898148","15.7","62"
"2019-11-07 00:14:38","43776.0101620370","15.9","64"
"2019-11-07 00:19:38","43776.0136342593","16.0","65"
"2019-11-07 00:24:38","43776.0171064815","16.2","65"
"2019-11-07 00:29:38","43776.0205787037","16.3","66"
"2019-11-07 00:34:38","43776.0240509259","16.5","66"
"2019-11-07 00:39:38","43776.0275231482","16.6","67"
"2019-11-07 00:44:38","43776.0309953704","16.7","67"
"2019-11-07 00:49:38","43776.0344675926","16.9","67"
"2019-11-07 00:54:38","43776.0379398148","15.9","60"
"2019-11-07 00:59:38","43776.0414120370","13.9","50"
"2019-11-07 01:04:38","43776.0448842593","13.9","53"
"2019-11-07 01:09:38","43776.0483564815","14.7","58"
"2019-11-07 01:14:38","43776.0518287037","15.2","60"
"2019-11-07 01:19:38","43776.0553009259","15.5","62"
"2019-11-07 01:24:38","43776.0587731482","15.7","68"
"2019-11-07 01:29:38","43776.0622453704","16.0","73"
"2019-11-07 01:34:38","43776.0657175926","16.3","74"
"2019-11-07 01:39:38","43776.0691898148","16.6","75"
"2019-11-07 01:44:38","43776.0726620370","16.8","75"
"2019-11-07 01:49:38","43776.0761342593","17.1","74"
"2019-11-07 01:54:38","43776.0796064815","16.7","68"
"2019-11-07 01:59:38","43776.0830787037","14.6","54"
"2019-11-07 02:04:38","43776.0865509259","13.3","50"
"2019-11-07 02:09:38","43776.0900231482","14.1","57"
"2019-11-07 02:14:38","43776.0934953704","14.8","61"
"2019-11-07 02:19:38","43776.0969675926","15.2","64"
"2019-11-07 02:24:38","43776.1004398148","15.5","65"
"2019-11-07 02:29:38","43776.1039120370","15.8","67"
