"Date/Time","Date/Time","No.1","No.2"
"時差:GMT+9:00/夏時間:off","日付のシリアル値(Excel)","Ch.1","Ch.2"
"","","C","%"
"2019-11-06 13:52:44","43775.578287037","23.8","48"
"2019-11-06 13:57:44","43775.581759259","23.9","48"
"2019-11-06 14:02:44","43775.585231481","23.9","48"
"2019-11-06 14:07:44","43775.588703704","23.9","48"
"2019-11-06 14:12:44","43775.592175926","23.9","48"
"2019-11-06 14:17:44","43775.595648148","24.9","46"
"2019-11-06 16:23:39","43775.683090278","25.0","44"
"2019-11-06 16:28:39","43775.6865625","25.1","45"
"2019-11-06 16:33:39","43775.690034722","25.1","46"
"2019-11-06 16:44:52","43775.697824074","24.9","45"
"2019-11-06 16:49:52","43775.701296296","23.2","50"
"2019-11-06 16:54:52","43775.704768519","22.7","52"
"2019-11-06 16:59:52","43775.708240741","22.6","52"
"2019-11-06 17:04:52","43775.711712963","22.5","53"
"2019-11-06 17:09:52","43775.715185185","22.5","53"
"2019-11-06 17:14:52","43775.718657407","22.5","53"
"2019-11-06 17:19:52","43775.72212963","22.4","53"
"2019-11-06 17:24:52","43775.725601852","22.4","53"
"2019-11-06 17:29:52","43775.729074074","22.4","53"
"2019-11-06 17:34:52","43775.732546296","22.4","53"
"2019-11-06 17:39:52","43775.736018519","22.4","53"
"2019-11-06 17:44:52","43775.739490741","22.3","54"
"2019-11-06 17:49:52","43775.742962963","22.3","54"
"2019-11-06 17:54:52","43775.746435185","22.3","54"
"2019-11-06 17:59:52","43775.749907407","22.3","54"
"2019-11-06 18:04:52","43775.75337963","22.3","54"
"2019-11-06 18:09:52","43775.756851852","22.3","54"
"2019-11-06 18:14:52","43775.760324074","22.4","54"
"2019-11-06 18:19:52","43775.763796296","22.3","54"
"2019-11-06 18:24:52","43775.767268519","22.3","54"
"2019-11-06 18:29:52","43775.770740741","22.3","54"
"2019-11-06 18:34:52","43775.774212963","22.3","54"
"2019-11-06 18:39:52","43775.777685185","22.3","54"
"2019-11-06 18:44:52","43775.781157407","22.3","54"
"2019-11-06 18:49:52","43775.78462963","22.3","54"
"2019-11-06 18:54:52","43775.788101852","22.3","54"
"2019-11-06 18:59:52","43775.791574074","22.2","54"
"2019-11-06 19:04:52","43775.795046296","22.2","55"
"2019-11-06 19:09:52","43775.798518519","22.8","53"
"2019-11-06 19:14:52","43775.801990741","23.3","52"
"2019-11-06 19:29:39","43775.812256944","22.3","54"
"2019-11-06 19:34:39","43775.815729167","19.3","44"
"2019-11-06 19:39:39","43775.819201389","17.5","41"
